MatchID,Map,Team Name,POI Drop,Banned Legends,Legend Composition,Ban Violation,Kill Points,Placement Points,Total Points,Match Start Time
15705,E-District,5STAR,Shipyard Arcade,None,"alter, caustic, crypto",None,13,12,25,"September 08, 2025"
15705,E-District,LG,Humbert Labs,None,"alter, caustic, newcastle",None,8,7,15,"September 08, 2025"
15705,E-District,NICE GUYS,Viaduct,None,"alter, caustic, crypto",None,2,9,11,"September 08, 2025"
15705,E-District,CIMJ,Galleria,None,"alter, caustic, crypto",None,5,4,9,"September 08, 2025"
15705,E-District,ZONE SPAMMERS,Street Market,None,"alter, caustic, newcastle",None,3,5,8,"September 08, 2025"
15705,E-District,THUGGETS,Draft Point,None,"alter, caustic, newcastle",None,6,2,8,"September 08, 2025"
15705,E-District,TEAM LIQUID ALIENWARE,Resort,None,"alter, caustic, newcastle",None,5,2,7,"September 08, 2025"
15705,E-District,ZZ,Energy Bank,None,"alter, caustic, newcastle",None,4,1,5,"September 08, 2025"
15705,E-District,SENTINELS,Settlement,None,"alter, caustic, newcastle",None,4,1,5,"September 08, 2025"
15705,E-District,STALLIONS,Electro Dam,None,"alter, caustic, crypto",None,1,3,4,"September 08, 2025"
15705,E-District,HOTDOG MAFIA,Lotus,None,"alter, caustic, sparrow",None,1,3,4,"September 08, 2025"
15705,E-District,100 THIEVES,City Hall,None,"alter, caustic, newcastle",None,3,1,4,"September 08, 2025"
15705,E-District,ROC ESPORTS,Canal Plaza,None,"alter, caustic, crypto",None,2,1,3,"September 08, 2025"
15705,E-District,LEGACY KINGDOM,Boardwalk,None,"alter, caustic, sparrow",None,3,0,3,"September 08, 2025"
15705,E-District,TEAM INFERNO,Stadium,None,"alter, caustic, sparrow",None,0,2,2,"September 08, 2025"
15705,E-District,TSM,Old Town,None,"alter, caustic, newcastle",None,1,1,2,"September 08, 2025"
15705,E-District,FALCONS,Heights,None,"alter, caustic, crypto",None,1,0,1,"September 08, 2025"
15705,E-District,14K RESONANCE,Blossom Drive,None,"alter, caustic, newcastle",None,1,0,1,"September 08, 2025"
15705,E-District,OBLIVION,Vibe Isle,None,"alter, caustic, newcastle",None,0,0,0,"September 08, 2025"
15705,E-District,THE DURAGS,Neon Square,None,"alter, caustic, newcastle",None,0,0,0,"September 08, 2025"
15705,E-District,THE DURAGS,Neon Square,alter,"caustic, newcastle, wraith",None,4,12,16,"September 08, 2025"
15705,E-District,THUGGETS,Draft Point,alter,"ash, caustic, newcastle",None,7,9,16,"September 08, 2025"
15705,E-District,TEAM LIQUID ALIENWARE,Resort,alter,"caustic, newcastle, wraith",None,9,7,16,"September 08, 2025"
15705,E-District,LEGACY KINGDOM,Boardwalk,alter,"ash, caustic, sparrow",None,6,4,10,"September 08, 2025"
15705,E-District,OBLIVION,Vibe Isle,alter,"caustic, newcastle, wraith",None,6,3,9,"September 08, 2025"
15705,E-District,HOTDOG MAFIA,Lotus,alter,"caustic, newcastle, sparrow",None,4,3,7,"September 08, 2025"
15705,E-District,ZONE SPAMMERS,Street Market,alter,"caustic, newcastle, wraith",None,1,5,6,"September 08, 2025"
15705,E-District,LG,Humbert Labs,alter,"caustic, newcastle, wraith",None,6,0,6,"September 08, 2025"
15705,E-District,FALCONS,Heights,alter,"caustic, newcastle, wraith",None,3,2,5,"September 08, 2025"
15705,E-District,100 THIEVES,City Hall,alter,"caustic, newcastle, wraith",None,3,1,4,"September 08, 2025"
15705,E-District,ROC ESPORTS,Canal Plaza,alter,"caustic, crypto, wraith",None,1,2,3,"September 08, 2025"
15705,E-District,STALLIONS,Electro Dam,alter,"caustic, crypto, wraith",None,2,1,3,"September 08, 2025"
15705,E-District,NICE GUYS,Viaduct,alter,"caustic, crypto, newcastle",None,0,2,2,"September 08, 2025"
15705,E-District,5STAR,Shipyard Arcade,alter,"ash, caustic, crypto",None,1,1,2,"September 08, 2025"
15705,E-District,SENTINELS,Settlement,alter,"caustic, newcastle, wraith",None,2,0,2,"September 08, 2025"
15705,E-District,ZZ,Energy Bank,alter,"caustic, newcastle, wraith",None,0,1,1,"September 08, 2025"
15705,E-District,14K RESONANCE,Blossom Drive,alter,"caustic, newcastle, wraith",None,0,1,1,"September 08, 2025"
15705,E-District,CIMJ,Galleria,alter,"caustic, crypto, wraith",None,1,0,1,"September 08, 2025"
15705,E-District,TSM,Old Town,alter,"caustic, newcastle, wraith",None,1,0,1,"September 08, 2025"
15705,E-District,TEAM INFERNO,Stadium,alter,"ash, caustic, sparrow",None,0,0,0,"September 08, 2025"
15705,E-District,TEAM INFERNO,Stadium,"alter, caustic","ash, sparrow, wattson",None,10,12,22,"September 08, 2025"
15705,E-District,FALCONS,Heights,"alter, caustic","newcastle, wattson, wraith",None,6,9,15,"September 08, 2025"
15705,E-District,14K RESONANCE,Blossom Drive,"alter, caustic","newcastle, wattson, wraith",None,8,7,15,"September 08, 2025"
15705,E-District,5STAR,Shipyard Arcade,"alter, caustic","ash, catalyst, horizon",None,12,3,15,"September 08, 2025"
15705,E-District,LG,Humbert Labs,"alter, caustic","newcastle, wattson, wraith",None,3,5,8,"September 08, 2025"
15705,E-District,THE DURAGS,Neon Square,"alter, caustic","newcastle, wattson, wraith",None,3,4,7,"September 08, 2025"
15705,E-District,NICE GUYS,Viaduct,"alter, caustic","newcastle, octane, sparrow",None,4,3,7,"September 08, 2025"
15705,E-District,STALLIONS,Electro Dam,"alter, caustic","crypto, wattson, wraith",None,3,2,5,"September 08, 2025"
15705,E-District,ZZ,Energy Bank,"alter, caustic","newcastle, wattson, wraith",None,4,1,5,"September 08, 2025"
15705,E-District,OBLIVION,Vibe Isle,"alter, caustic","newcastle, wattson, wraith",None,2,2,4,"September 08, 2025"
15705,E-District,CIMJ,Galleria,"alter, caustic","crypto, wattson, wraith",None,2,1,3,"September 08, 2025"
15705,E-District,LEGACY KINGDOM,Boardwalk,"alter, caustic","ash, sparrow, wattson",None,2,1,3,"September 08, 2025"
15705,E-District,SENTINELS,Settlement,"alter, caustic","newcastle, wattson, wraith",None,0,2,2,"September 08, 2025"
15705,E-District,THUGGETS,Draft Point,"alter, caustic","ash, newcastle, wattson",None,2,0,2,"September 08, 2025"
15705,E-District,HOTDOG MAFIA,Lotus,"alter, caustic","newcastle, pathfinder, sparrow",None,0,1,1,"September 08, 2025"
15705,E-District,ROC ESPORTS,Canal Plaza,"alter, caustic","newcastle, wattson, wraith",None,0,1,1,"September 08, 2025"
15705,E-District,TEAM LIQUID ALIENWARE,Resort,"alter, caustic","newcastle, wattson, wraith",None,0,0,0,"September 08, 2025"
15705,E-District,TSM,Old Town,"alter, caustic","newcastle, wattson, wraith",None,0,0,0,"September 08, 2025"
15705,E-District,ZONE SPAMMERS,Street Market,"alter, caustic","newcastle, wattson, wraith",None,0,0,0,"September 08, 2025"
15705,E-District,100 THIEVES,City Hall,"alter, caustic","newcastle, wattson, wraith",None,0,0,0,"September 08, 2025"
15705,Worlds Edge,TEAM INFERNO,Geyser,"alter, caustic, wattson","ash, revenant, sparrow",None,9,12,21,"September 08, 2025"
15705,Worlds Edge,OBLIVION,Harvester,"alter, caustic, wattson","newcastle, rampart, wraith",None,7,7,14,"September 08, 2025"
15705,Worlds Edge,FALCONS,Lava Fissure,"alter, caustic, wattson","newcastle, rampart, wraith",None,4,9,13,"September 08, 2025"
15705,Worlds Edge,TEAM LIQUID ALIENWARE,Overlook,"alter, caustic, wattson","catalyst, newcastle, wraith",None,8,5,13,"September 08, 2025"
15705,Worlds Edge,STALLIONS,Staging,"alter, caustic, wattson","newcastle, rampart, wraith",None,3,4,7,"September 08, 2025"
15705,Worlds Edge,100 THIEVES,Skyhook East,"alter, caustic, wattson","newcastle, rampart, wraith",None,4,3,7,"September 08, 2025"
15705,Worlds Edge,LEGACY KINGDOM,Big Maude,"alter, caustic, wattson","catalyst, sparrow, wraith",None,5,2,7,"September 08, 2025"
15705,Worlds Edge,HOTDOG MAFIA,Tree,"alter, caustic, wattson","catalyst, newcastle, wraith",None,3,2,5,"September 08, 2025"
15705,Worlds Edge,CIMJ,Survey Camp,"alter, caustic, wattson","ash, catalyst, crypto",None,4,1,5,"September 08, 2025"
15705,Worlds Edge,NICE GUYS,Stacks,"alter, caustic, wattson","newcastle, sparrow, wraith",None,1,3,4,"September 08, 2025"
15705,Worlds Edge,5STAR,Thermal Station,"alter, caustic, wattson","ash, fuse, sparrow",None,2,2,4,"September 08, 2025"
15705,Worlds Edge,14K RESONANCE,Countdown,"alter, caustic, wattson","catalyst, newcastle, wraith",None,4,0,4,"September 08, 2025"
15705,Worlds Edge,THE DURAGS,Mirage,"alter, caustic, wattson","newcastle, rampart, wraith",None,2,1,3,"September 08, 2025"
15705,Worlds Edge,LG,Launch Site,"alter, caustic, wattson","catalyst, gibraltar, wraith",None,0,1,1,"September 08, 2025"
